team,group,elo,win_group,reach_r32,reach_r16,reach_qf,reach_sf,reach_final,reach_champion
Spain,H,2196,0.80158,0.99306,0.7713,0.5721,0.4579,0.31768,0.2085
Argentina,J,2155,0.74936,0.97626,0.67844,0.52426,0.36544,0.23016,0.1351
France,I,2149,0.61902,0.95582,0.73598,0.50664,0.34378,0.20504,0.1239
England,L,2117,0.64708,0.96444,0.69194,0.43438,0.26856,0.15486,0.08232
Brazil,C,2100,0.57594,0.94626,0.61828,0.39172,0.22774,0.12346,0.06402
Portugal,K,2087,0.5143,0.93546,0.63372,0.38768,0.22422,0.12062,0.06168
Mexico,A,1941,0.67822,0.99176,0.65876,0.35128,0.17744,0.0841,0.03804
Germany,E,2052,0.49364,0.93028,0.57884,0.30134,0.16562,0.07828,0.036
Colombia,K,2043,0.37672,0.8893,0.5418,0.28242,0.14958,0.0712,0.03156
Netherlands,F,2044,0.46342,0.89414,0.4954,0.29124,0.14472,0.06724,0.03058
Ecuador,E,2008,0.363,0.88422,0.48938,0.22994,0.10972,0.04522,0.01774
Norway,I,2010,0.21814,0.79136,0.45324,0.23012,0.10678,0.04584,0.0173
Morocco,C,2003,0.28048,0.83384,0.43272,0.22844,0.10324,0.04296,0.01676
Japan,F,2006,0.3485,0.84186,0.42044,0.22444,0.10182,0.0422,0.0167
Belgium,G,1990,0.47608,0.8795,0.52826,0.26494,0.10234,0.04404,0.0166
Uruguay,H,1984,0.16516,0.85406,0.35332,0.18586,0.08824,0.03632,0.0127
Canada,B,1864,0.44624,0.91468,0.51926,0.2379,0.09364,0.03414,0.01212
Switzerland,B,1971,0.43516,0.91302,0.5166,0.23758,0.092,0.035,0.01184
Turkey,D,1974,0.3075,0.75408,0.42338,0.20144,0.07768,0.03212,0.01166
Croatia,L,1976,0.22842,0.81316,0.40042,0.163,0.07406,0.03056,0.01056
United States,D,1859,0.2998,0.7465,0.4124,0.1938,0.07178,0.02788,0.00924
Senegal,I,1955,0.1363,0.66554,0.32352,0.13992,0.05384,0.01882,0.0063
South Korea,A,1920,0.29078,0.95196,0.48332,0.18458,0.06164,0.01924,0.0057
Paraguay,D,1920,0.21088,0.64634,0.3092,0.11872,0.03818,0.01282,0.00358
Austria,J,1922,0.1147,0.65484,0.21402,0.09336,0.03472,0.01158,0.00332
Iran,G,1894,0.2372,0.71604,0.32386,0.11246,0.03262,0.0094,0.00246
Australia,D,1901,0.18182,0.59942,0.26982,0.09922,0.02948,0.00874,0.00228
Algeria,J,1903,0.09512,0.60862,0.18652,0.07834,0.026,0.00804,0.00214
Scotland,C,1894,0.10848,0.5895,0.21808,0.08186,0.02556,0.00702,0.00194
Egypt,G,1864,0.1865,0.6523,0.26732,0.08136,0.02058,0.00524,0.00144
Ivory Coast,E,1876,0.1175,0.62048,0.22982,0.0741,0.02032,0.0056,0.00136
Panama,L,1848,0.09692,0.595,0.20146,0.06184,0.01962,0.0054,0.00126
Sweden,F,1874,0.11846,0.5542,0.18492,0.06526,0.01826,0.00446,0.00096
Uzbekistan,K,1845,0.06062,0.44478,0.13512,0.03616,0.00972,0.00228,0.00054
Czech Republic,A,1840,0.0219,0.43606,0.1656,0.05468,0.01102,0.00262,0.00036
DR Congo,K,1823,0.04836,0.38258,0.10384,0.02614,0.00642,0.00158,0.00028
Bosnia and Herzegovina,B,1779,0.08252,0.52302,0.15594,0.03716,0.00576,0.00086,0.0002
Jordan,J,1817,0.04082,0.389,0.08668,0.02688,0.00632,0.00122,0.0002
Tunisia,F,1823,0.06962,0.413,0.11018,0.03134,0.00654,0.00116,0.00018
New Zealand,G,1793,0.10022,0.47042,0.14476,0.03226,0.00588,0.00098,0.00016
Iraq,I,1810,0.02654,0.26498,0.0795,0.0212,0.0045,0.00104,0.00014
Haiti,C,1761,0.0351,0.30664,0.0688,0.01722,0.00324,0.00066,8e-05
Saudi Arabia,H,1787,0.0196,0.37202,0.07344,0.02136,0.0043,0.00078,6e-05
Cape Verde,H,1762,0.01366,0.31038,0.05666,0.01352,0.00198,0.00038,4e-05
South Africa,A,1762,0.0091,0.28234,0.08048,0.0181,0.00242,0.00034,4e-05
Qatar,B,1710,0.03608,0.3167,0.06804,0.01224,0.00128,8e-05,2e-05
Curaçao,E,1712,0.02586,0.25028,0.05052,0.00942,0.00134,0.0003,2e-05
Ghana,L,1768,0.02758,0.2805,0.0547,0.01078,0.00216,0.00044,2e-05
